输入商标名,历史商标名,输入商标编号,历史商标编号,所属大类,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
炫世公主,钱氏公主,16538847,15867656,25,True,0.5,0.88,0.5,0.5,0.85,0.54,0.0,0.0,0.0,0.0,1,1,1
炫世公主,裴诗公主,16538847,15648439,25,True,0.5,0.76,0.5,0.5,0.86,0.35,0.0,0.0,0.0,0.0,1,1,1
罗玛爵仕,爵罗玛 JEYRUMV,16765905,12342261,25,True,0.25,0.29,0.5,0.75,0.49,0.0,0.0,0.0,0.0,0.0,1,1,1
罗玛爵仕,骆玛仕,16765905,11957046,25,True,0.5,0.71,0.25,0.5,0.86,0.0,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,黛茵芬,16538858,7563437,25,True,0.67,0.82,0.67,0.67,0.92,0.84,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,奥芭芬,16538858,16205405,25,True,0.67,0.7,0.33,0.67,0.92,0.81,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,奥芬德,16538858,16019821,25,True,0.33,0.6,0.33,0.67,0.63,0.59,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,奥迪芬,16538858,14378105,25,True,0.67,0.8,0.33,0.67,0.92,0.61,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,奥美芬,16538858,14972600,25,True,0.67,0.7,0.33,0.67,0.91,0.56,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,珍奥芬,16538858,16322402,25,True,0.33,0.36,0.33,0.67,0.64,0.67,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,奥芬缇,16538858,13857392,25,True,0.33,0.5,0.33,0.67,0.62,0.56,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,奥朵芬,16538858,13550081,25,True,0.67,0.7,0.33,0.67,0.92,0.58,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,茵芬,16538858,12723598,25,True,0.67,0.7,0.67,0.67,0.91,0.0,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,茵姿芬,16538858,13670068,25,True,0.33,0.5,0.33,0.67,0.64,0.47,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,奥兰芬,16538858,9877639,25,True,0.67,0.8,0.33,0.67,0.9,0.53,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,澳珞芬,16538858,11009457,25,True,0.33,0.7,0.33,0.33,0.6,0.58,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,音芬,16538858,15648296,25,True,0.33,0.7,0.33,0.33,0.63,0.0,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,奥得芬,16538858,16380358,25,True,0.67,0.7,0.33,0.67,0.93,0.82,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,欧奥芬,16538858,16405968,25,True,0.33,0.5,0.33,0.67,0.6,0.61,0.0,0.0,0.0,0.0,1,1,1
奥茵芬,奥芬蝶,16538858,15803245,25,True,0.33,0.5,0.33,0.67,0.62,0.48,0.0,0.0,0.0,0.0,1,1,1
奥茵媚,韩茵美,16538860,13620342,25,True,0.33,0.82,0.33,0.33,0.6,0.61,0.0,0.0,0.0,0.0,1,1,1
奥茵媚,挺寅美,16538860,16525783,25,True,0.0,0.67,0.0,0.0,0.01,0.43,0.0,0.0,0.0,0.0,1,1,1
奥茵媚,香茵美,16538860,16491127,25,True,0.33,0.69,0.33,0.33,0.59,0.69,0.0,0.0,0.0,0.0,1,1,1
奥茵媚,隐美,16538860,7825671,25,True,0.0,0.7,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1,1,1
奥茵媚,依因美,16538860,14366611,25,True,0.0,0.8,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,1,1,1
